Nimi;Lukumäärä
Alma;2810
Carita;2801
Urho;2798
Olga;2727
Heimo;2725
Tony;2724
Isla;2723
Kaarina;2721
Senja;2704
Teppo;2677
Ada;2669
Peppi;2658
Thomas;2655
Eeva-Liisa;2643
Hans;2643
Miko;2630
Jutta;2616
Anna-Maija;2606
Luukas;2602
Irina;2593
Viola;2592
Robin;2590
Oili;2589
Soili;2581
Aku;2576
Aulis;2564
Peetu;2560
Petteri;2558
Sulo;2544
Aava;2541
Santtu;2534
Ilari;2517
Sylvi;2501
Lumi;2497
Irene;2490
Aatos;2489
Stella;2473
Jasper;2469
Rauha;2465
Leif;2424
Netta;2420
Veikka;2415
Tomas;2413
Lucas;2411
Saga;2400
Birgitta;2391
Hilma;2390
Elmeri;2389
Panu;2372
Perttu;2367
Tytti;2363
Saimi;2344
Margit;2330
Tea;2318
Hilda;2306
Lukas;2295
Carl;2255
Veli-Pekka;2250
Mirka;2240
Vilja;2232
Alvar;2217
Ilmari;2215
Marina;2209
Maila;2198
Anne-Mari;2196
Juha-Matti;2196
Kiia;2193
Senni;2191
Jonas;2191
Maritta;2186
Aarni;2170
Mona;2162
Harry;2159
Sandra;2158
Iris;2152
Nuutti;2147
Lahja;2139
Olli-Pekka;2139
Oskar;2129
Voitto;2119
Nora;2109
John;2101
Ulla-Maija;2086
Jemina;2081
Kristina;2066
Saila;2043
Selma;2037
Alli;2032
Virve;2022
Hilja;2021
Helka;2003
Rosa;2000
Kaapo;1998
Fanni;1986
Janika;1973
Christian;1964
Joonatan;1955
Rainer;1950
Alexandra;1945
Aija;1940
Jade;1935
Hertta;1931
Fanny;1917
Seela;1915
Susanne;1914
Wilma;1907
Terho;1906
Tino;1900
Urpo;1899
Janette;1885
Klaus;1883
Vieno;1881
Juulia;1878
Natalia;1866
Nils;1866
Elsi;1858
Frida;1857
Paul;1848
Sisu;1841
Taija;1840
Tuire;1832
Joakim;1830
Isabella;1829
Antero;1827
Oscar;1827
Katriina;1820
Teijo;1819
Aini;1817
Aurora;1815
Minja;1809
Heta;1804
Frans;1801
Luca;1797
Rita;1793
Vanessa;1791
Kasperi;1791
Stefan;1789
Justus;1785
Karin;1783
Lilli;1778
Severi;1778
Jooa;1776
Moona;1773
Reima;1771
Hanne;1767
Lari;1762
Annikki;1749
Anders;1748
Hannes;1745
Maisa;1738
Mette;1738
Axel;1727
Aarno;1726
Janita;1718
Vappu;1716
William;1712
Joanna;1696
Reija;1695
Eine;1694
Monica;1688
Inga;1685
Anette;1683
Vera;1677
Tyyne;1671
Tommy;1659
Iisa;1657
Jesper;1642
Elmo;1641
Eerika;1635
Aarre;1635
Elma;1633
Bengt;1627
Riitta-Liisa;1626
Ari-Pekka;1618
Janna;1614
Ali;1611
Milo;1610
Varpu;1602
Arvi;1575
Andreas;1571
Eemi;1570
Inkeri;1569
Manu;1568
Karri;1559
Miisa;1549
Birgit;1548
Marketta;1548
Marcus;1539
Stig;1538
Martin;1529
Tilda;1528
Anna-Kaisa;1527
Kiira;1506
Heljä;1484
Irmeli;1476
Erno;1473
Jori;1473
Rolf;1473
Eini;1466
Salli;1466
Jerry;1460
Titta;1446
Kimi;1446
Kia;1440
Ninni;1435
Anna-Maria;1414
Vertti;1400
Mirjam;1397
Edvin;1395
Mats;1390
Taneli;1388
Sven;1387
Lena;1380
Touko;1371
Kerstin;1369
Christina;1367
Marjaana;1366
Aliisa;1363
Taavi;1362
Felix;1359
Kenneth;1353
Timi;1352
Cecilia;1337
Tuulikki;1332
Thi;1327
Melissa;1325
Viktor;1323
Raisa;1317
Linus;1312
Patrick;1309
Kalervo;1308
Kurt;1308
Anitta;1306
Kevin;1303
Jonathan;1298
Mikaela;1296
Miina;1293
Kirsi-Marja;1292
Ralf;1285
Verneri;1285
Helga;1281
Simon;1276
Tenho;1273
Mohamed;1270
Helli;1264
Marja-Terttu;1264
Tia;1260
Jari-Pekka;1257
Annukka;1249
Neela;1243
Kaisla;1241
Brita;1235
Michael;1235
Jiri;1232
Rauli;1229
Melina;1226
Björn;1226
Fredrik;1218
Adam;1211
Mico;1209
Elle;1196
Hanna-Mari;1196
Saaga;1192
Hanna-Leena;1188
Lilian;1188
Elise;1186
Elin;1185
Ira;1182
Tuovi;1174
Enna;1173
Henni;1171
Bo;1167
Casper;1163
Per;1158
Siru;1147
Daniela;1145
Svetlana;1143
Juhana;1137
Noah;1135
Inger;1132
Reeta;1128
Anna-Mari;1125
Raine;1125
Mimosa;1124
Helinä;1112
Lisa;1111
David;1109
Eliel;1105
Tobias;1105
Tina;1101
Eerik;1101
Tuulia;1100
Marianna;1099
Leon;1097
Aura;1093
Marja-Riitta;1090
Malin;1083
Taika;1082
Siv;1079
Barbro;1074
Carola;1074
Tuure;1070
Stina;1060
Niki;1058
Erin;1057
Katarina;1057
Sointu;1057
Inna;1050
Dan;1049
Liina;1040
Raila;1039
Vivian;1034
Artturi;1033
Berit;1032
Kosti;1029
Diana;1028
Ulf;1028
Juuli;1025
Mea;1024
Tinja;1019
Lempi;1016
Mathias;1012
Lina;1007
Heino;1007
Edith;1006
Kira;1003
Sampsa;1002
Alva;999
Saima;999
Jan-Erik;997
Iivo;996
